apogee,impact_x,impact_y,max_velocity,max_mach
1113.5526322647731,0,0,41.804543256257084,0.12438841661288406
1117.9178913264739,0,0,42.76011885060056,0.12723254013046995
1115.843240405839,0,0,42.33165001302792,0.1259573882121253
1116.4034991299227,0,0,42.66093145326439,0.1269372230186339
1100.722728313651,0,0,39.051071028391526,0.11619282739869277
1125.1992465765943,0,0,44.398495027630695,0.13210924691022785
1120.168391299986,0,0,43.391420300840565,0.12911153150524052
1121.779594799403,0,0,43.816319686449894,0.1303762268170764
1097.3175350228469,0,0,38.47419567625973,0.11447584423123203
1114.2260974722383,0,0,41.991880737618594,0.12494598886807648
1120.9606173717732,0,0,43.68515659353264,0.12998581381316165
1111.919046942151,0,0,41.735202087808275,0.12418182151471391
1108.29997606124,0,0,40.70139267054916,0.12110494925856628
1128.6720099890085,0,0,45.198290225652144,0.13448975223936266
1123.7511147934601,0,0,43.92339975312683,0.13069522220007054
1113.2404042097307,0,0,41.74603389175127,0.12421416881120477
1125.2337958254,0,0,44.4515777476178,0.13226721660871563
1115.9831518878045,0,0,42.4072441665153,0.12618213190298527
1106.7086593907006,0,0,40.44347366770827,0.12033720854552668
1107.6250446478953,0,0,40.68135076120087,0.12104515762096447
1119.0512803041383,0,0,43.01217759076,0.12798294128059984
1120.1049802117689,0,0,43.28442225938218,0.12879323573093018
1118.1034813018314,0,0,43.02721569260108,0.12802747250349764
1110.8123776295497,0,0,41.44258309954775,0.12331089938367229
1112.6388706774158,0,0,41.87431978965669,0.12459586827352812
1113.5422659878345,0,0,41.93841284168317,0.12478674144656474
1129.1952021754184,0,0,45.28020869707901,0.13473363368035188
1119.7233527142646,0,0,43.194109776200484,0.1285243469499058
1121.4484261197708,0,0,43.649985597019096,0.12988120224977803
1115.286844435398,0,0,42.21852175885224,0.12562042949025548
1130.8171817876892,0,0,45.51044711935333,0.1354191818924964
1104.1102621970867,0,0,39.78794076549066,0.11838608278292626
1130.0224527683145,0,0,45.366816887965975,0.13499148162988547
1115.781255900819,0,0,42.530952257029,0.12655031413898635
1111.9520717980547,0,0,41.49990467685281,0.12348154545578095
1128.1354165044088,0,0,44.9333975308895,0.13370133076058272
